ChEMBL_ID,SMILES
CHEMBL35,NS(=O)(=O)c1cc(C(=O)O)c(NCc2occc2)cc1Cl
CHEMBL36,CCc1nc(N)nc(N)c1c2ccc(Cl)cc2
CHEMBL436,COc1ccc2c(cccc2c1C(F)(F)F)C(=S)N(C)CC(=O)O
CHEMBL437,Nc1ccc(cc1)S(=O)(=O)Nc2nccs2
CHEMBL438,Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1
CHEMBL439,Nc1ccc(cc1)S(=O)(=O)Nc2ncccn2
CHEMBL440,CCCC(C)C1(CC=C)C(=O)NC(=NC1=O)S
CHEMBL441,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O
CHEMBL268164,CCC1(C(=O)NC(=O)NC1=O)C2=CCCCC2
CHEMBL442,CN1C[C@@H](C=C2[C@H]1Cc3c[nH]c4cccc2c34)C(=O)N[C@]5(C)O[C@@]6(O)[C@@H]7CCCN7C(=O)[C@H](Cc8ccccc8)N6C5=O
CHEMBL38,C\C(=C/C=C/C(=C/C(=O)O)/C)\C=C\C1=C(C)CCCC1(C)C
CHEMBL7413,CCC#CC(C)C1(CC=C)C(=O)NC(=O)N(C)C1=O
CHEMBL40,CCC1(C(=O)NC(=O)NC1=O)c2ccccc2
CHEMBL41,CNCCC(Oc1ccc(cc1)C(F)(F)F)c2ccccc2
CHEMBL443,Cc1onc(NS(=O)(=O)c2ccc(N)cc2)c1
CHEMBL444,CCC1(CC)C(=O)NC(=O)NC1=O
CHEMBL42,CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24
CHEMBL445,CNCCC=C1c2ccccc2CCc3ccccc13
CHEMBL446,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1
CHEMBL447,CCCC(C)C1(CC=C)C(=O)NC(=O)NC1=O
CHEMBL448,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O
CHEMBL267894,CCC1(CCC(C)C)C(=O)NC(=NC1=O)O
CHEMBL449,CCC(C)C1(CC)C(=O)NC(=O)NC1=O
CHEMBL450,CCC1(CC)C(=O)NC(=O)N(C)C1=O
CHEMBL451,CNC1=Nc2ccc(Cl)cc2C(=[N+]([O-])C1)c3ccccc3
CHEMBL452,[O-][N+](=O)c1ccc2NC(=O)CN=C(c3ccccc3Cl)c2c1
CHEMBL453,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C
CHEMBL268869,COc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1
CHEMBL454,CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O
